starId,movieId
"nm9426407","ArH217",
"nm9425516","ArH217",
"nm9430764","ArH217",
"nm9430765","ArH217",
"nm9425060","RMu46",
"nm9423947","RMu46",
"nm9424740","RMu46",
"nm9429348","RMu46",
"nm9427589","RMu46",
"nm9428132","RMu46",
"nm9429559","CBl26",
"nm9425339","RMu41",
"nm9428932","RMu41",
"nm9426776","RMu41",
"nm9425818","RMu41",
"nm9431685","CBl25",
"nm9431686","CBl25",
"nm9431687","CBl25",
"nm9431688","CBl25",
"nm9428259","SCa10",
"nm9440084","SCa10",
"nm9424052","SCa10",
"nm9428995","SCa10",
"nm9440085","SCa10",
"nm9440086","SCa10",
"nm9429194","RcB13",
"nm9426104","RcB13",
"nm9427640","RcB13",
"nm9424065","RcB13",
"nm9423213","RcB13",
"nm9439093","RcB13",
"nm9425302","RcB13",
"nm9431587","ByP10",
"nm9426552","ByP10",
"nm9431588","ByP10",
"nm9424638","ByP10",
"nm9429964","ByP10",
"nm9431589","ByP10",
"nm9429559","ByP10",
"nm9431369","ByP10",
"nm9430146","ByP10",
"nm9431590","ByP10",
"nm9423729","ByP10",
"nm9428842","ByP10",
"nm9429964","ByP10",
"nm9429964","ByP10",
"nm9429964","ByP10",
"nm9429964","ByP10",
"nm9429559","ByP10",
"nm9429964","ByP10",
"nm9427604","EL40",
"nm9432978","EL40",
"nm9432992","EL40",
"nm9432993","EL40",
"nm0","RcB12",
"nm9428027","EL41",
"nm0","PRo30",
"nm9427855","RcB15",
"nm9427640","RcB15",
"nm9429316","RcB15",
"nm9423684","EL42",
"nm9428124","EL42",
"nm9429964","EL42",
"nm9427261","EL42",
"nm9426547","RcB14",
"nm9428844","RcB14",
"nm9426357","RcB14",
"nm9426220","RcB14",
"nm9426128","RcB14",
"nm9423232","RcB14",
"nm9426357","RcB14",
"nm9427857","RcB14",
"nm9427197","RcB14",
"nm9426092","RcB14",
"nm9427019","RcB14",
"nm9439094","RcB14",
"nm9426547","RcB17",
"nm9427063","RcB17",
"nm9428554","RcB17",
"nm9427867","RcB17",
"nm9423535","RcB17",
"nm9424006","RcB17",
"nm9429107","RcB17",
"nm9427604","EL44",
"nm9427261","EL44",
"nm9432994","EL44",
"nm9428982","EL44",
"nm9432995","EL44",
"nm9427833","RcB16",
"nm9427077","RcB16",
"nm9429559","RcB16",
"nm9426862","RcB16",
"nm9425761","RcB16",
"nm9426621","RcB16",
"nm9426248","RcB16",
"nm9429175","RcB16",
"nm9426099","RcB16",
"nm0","RcB19",
"nm0","JCw51",
"nm9427133","EL46",
"nm9426896","EL46",
"nm9428341","EL46",
"nm9432996","EL46",
"nm9423661","RcB18",
"nm9429800","RcB18",
"nm9425148","RcB18",
"nm9425608","JCw50",
"nm9435758","JCw50",
"nm9428889","JCw50",
"nm9423704","JCw50",
"nm9427707","EL48",
"nm9428771","EL48",
"nm9425853","EL48",
"nm9432997","EL48",
"nm9432998","EL48",
"nm9426138","EL49",
"nm9429082","EL49",
"nm9429492","EL49",
"nm9425648","EL49",
"nm9435992","JJB1",
"nm9423226","JJB1",
"nm9428038","JJB1",
"nm9426878","JJB1",
"nm9423696","JJB1",
"nm9435993","JJB1",
"nm9435994","JJB1",
"nm9435995","JJB1",
"nm9435996","JJB1",
"nm9435997","JJB1",
"nm9435998","JJB1",
"nm9435999","JJB1",
"nm0","MKl10",
"nm9425684","JCw53",
"nm9427472","JCw53",
"nm9426075","JCw53",
"nm9427274","JCw53",
"nm9429082","JCw53",
"nm9429010","JCw53",
"nm9428441","JCw53",
"nm9423759","JCw53",
"nm9425784","KFi10",
"nm9423808","KFi10",
"nm9425598","KFi10",
"nm9428751","KFi10",
"nm9423915","KFi10",
"nm9424305","KFi10",
"nm9427659","KFi10",
"nm9429316","KFi10",
"nm9424613","KFi10",
"nm9424962","KFi10",
"nm9425481","KFi10",
"nm9436761","KFi10",
"nm9423714","KFi10",
"nm9429499","KFi10",
"nm9429964","KFi10",
"nm0","RyS10",
"nm0","JCw47",
"nm0","RM110",
"nm9427659","PtP10",
"nm9438884","PtP10",
"nm9429899","PtP10",
"nm9424413","PtP10",
"nm9427199","SOS10",
"nm9424003","SOS10",
"nm9429964","SOS10",
"nm9440364","SOS10",
"nm9429964","SOS10",
"nm9425681","SOS10",
"nm9429964","SOS10",
"nm0","ArL9",
"nm9438315","NNo13",
"nm9427800","NNo13",
"nm9425731","NNo13",
"nm9440815","TiH10",
"nm9423366","TiH10",
"nm9427088","TiH10",
"nm9427465","TiH10",
"nm9430343","NNo16",
"nm9438316","NNo16",
"nm9426138","EL31",
"nm9427604","EL31",
"nm9432973","EL31",
"nm9428663","EL31",
"nm9427830","EL32",
"nm9432978","EL32",
