id,name,birthYear
"nm9432338","Berry Kroeger","NULL",
"nm9439600","Tony Church","NULL",
"nm9434208","Ernest Thompson","NULL",
"nm9440063","Francis McDonald","NULL",
"nm9436257","Paley Baer","NULL",
"nm9440237","Armin Block","NULL",
"nm9427850","Joanna Pacula","NULL",
"nm9432226","Sean Fox","NULL",
"nm9439044","Laura Greene","NULL",
"nm9440689","Allan Payne","NULL",
"nm9427260","Mauro Mendonco","NULL",
"nm9427747","Judith ODea","NULL",
"nm9424807","Olympia Dukakis","NULL",
"nm9431880","Henriette Gerard","NULL",
"nm9427838","Maria Ouspenskaya","1876",
"nm9427072","Johnny Mask","NULL",
"nm9425496","Marika Green","NULL",
"nm9429949","Margaret Rurtherford","NULL",
"nm9431493","Joe Keaton","NULL",
"nm9438622","Paul Daniels","NULL",
"nm9424798","Lesley Dudley","NULL",
"nm9426912","Barry Mackay","1906",
"nm9440255","John Tenney","NULL",
"nm9441569","Talia Balsam","NULL",
"nm9427931","Marisa Pavan","1932",
"nm9435680","Georgette Sanders","NULL",
"nm9430779","Fernando Lujan","NULL",
"nm9425187","Don Francks","1932",
"nm9428731","Athene Seyler","1889",
"nm9438808","Kathy Burke","NULL",
"nm9438510","Leslie Neilsen","NULL",
"nm9424230","Alec Clunes","1912",
"nm9437915","Tracy Camilla Johns","NULL",
"nm9429622","Emily Watson","1967",
"nm9429989","The Ramones","NULL",
"nm9424026","Richard Carlson","NULL",
"nm9433232","John Arledge","NULL",
"nm9437535","Wayne Heffler","NULL",
"nm9426056","John Hurt","1940",
"nm9438878","Jessica Capshaw","NULL",
"nm9434340","Inga Tidblatt","NULL",
"nm9428131","Prince","1958",
"nm9423117","Dawn Addams","1930",
"nm9432401","Mimsey Farmer","NULL",
"nm9439662","Anne Verdon","NULL",
"nm9439828","Charles LeClainche","NULL",
"nm9433567","Paolo Bonacelli","NULL",
"nm9440701","William Mapother","NULL",
"nm9426334","Jim Kelly","NULL",
"nm9429014","Ford Sterling","1883",
"nm9440550","Isaah Walker","NULL",
"nm9433752","Johnny Clegg","NULL",
"nm9436607","Taris","NULL",
"nm9428784","Elizabeth Shepherd","NULL",
"nm9429088","Larry Storch","1923",
"nm9432539","Tim Byrd","NULL",
"nm9429709","Wilfrid Hyde White","NULL",
"nm9438597","Gosia Dobrowolska","NULL",
"nm9438842","John Evans","NULL",
"nm9432722","Hazel court","NULL",
"nm9430635","James Cavizel","NULL",
"nm9425930","Celeste Holm","1919",
"nm9433175","Catherine Jacob","NULL",
"nm9437479","Lee H. Cobb","NULL",
"nm9440688","CB4","NULL",
"nm9433933","Pernilla August","NULL",
"nm9427352","Esther Minciotti","1883",
"nm9435469","David Opatshu","NULL",
"nm9434889","Jules Bledsoe","NULL",
"nm9426421","Melinda Kinnaman","NULL",
"nm9425995","Sydney Howard","1884",
"nm9436998","Ed Kovens","NULL",
"nm9437544","MarieJose Nat","NULL",
"nm9436229","Winton Dennis","NULL",
"nm9435168","Wayne Newton","NULL",
"nm9427383","Matthew Modine","NULL",
"nm9429443","Jimmie VanPatten","NULL",
"nm9426437","Michael Kitchen","NULL",
"nm9431994","Michele Merier","NULL",
"nm9439669","Mary Healy","NULL",
"nm9430897","Tony Aguilar","NULL",
"nm9439733","Gaillard Sartain","NULL",
"nm9426768","Desmond Llewellyn","NULL",
"nm9438183","Mary Lawlor","NULL",
"nm9431492","Horace Morgan","NULL",
"nm9423210","Ingrid Anderson","NULL",
"nm9433492","Marc vanUchelen","NULL",
"nm9435701","Mila Par\'ely","NULL",
"nm9432059","Romain Duris","NULL",
"nm9432517","Porter Wagoner","NULL",
"nm9423316","Mary Astor","1906",
"nm9423963","Michael Callan","1935",
"nm9435916","Sammy Davis~jr","NULL",
"nm9438463","Vincent Perez","NULL",
"nm9427835","Rafaela Ottiano","1894",
"nm9437104","Lynne Frederick","NULL",
"nm9437006","Sophia Adella Hernandez","NULL",
"nm9431819","Wayne Coot","NULL",
"nm9437084","Natalie Moorhead","NULL",
"nm9441298","Richard Marcus","NULL",
"nm9431221","Bill Gunn","NULL",
"nm9423677","Bernard Blier","1916",
"nm9429127","Geoffrey Sumner","1908",
"nm9433850","Theodore Roosevelt","NULL",
